Date_Published,Locality,Type_of_Property,Price
April,18,,
April,BALZAN,apartment,152000
April,GOZO GĦAJNSIELEM,house,185000
April,GOZO NADUR,character,293000
April,GOZO VICTORIA,maisonette,145000
April,MARSASCALA,apartment,85000
April,QAWRA,Apartment,140000
April,QAWRA,apartments,75500
April,SIĠĠIEWI,maisonette,120000
April,ST PAUL,apartment,250000
April,ST VENERA,penthouse,94000
April,ST VENERA,,110000
April,TA,villa,850000
April,TARXIEN,apartments,75000
April,THE,maisonette,20500
April,VICTORIA,bungalow,1600000
April,ŻEBBUĠ,farmhouse,950000
April,ATTARD,villa,450000
April,BALZAN,apartment,147000
April,BALZAN,flat,150000
April,BIRKIRKARA,penthouse,125000
April,BIRKIRKARA,penthouse,108000
April,COSPICUA,townhouse,275000
April,FLEUR,house,
April,GOZO FONTANA,house,345000
April,GOZO MARSALFORN,apartment,80000
April,GOZO SANNAT,penthouse,165000
April,GOZO XAGĦRA,character,260000
April,KAPPARA,villa,650000
April,MARSASCALA,apartment,125000
April,MARSASCALA,apartment,175000
April,MĠARR,maisonette,
April,MTARFA,house,
April,NAXXAR,character,875000
April,SAN PAWL,,255000
April,SANTA LUĊIJA,house,250000
April,SIĠĠIEWI,maisonette,
April,SLIEMA,apartment,220000
April,SLIEMA,penthouse,360000
April,ST PAUL,penthouse,194250
April,ST VENERA,Maisonette,95000
April,ST VENERA,apartment,90000
April,TA,apartment,850000
April,THE,villa,510000
April,VALLETTA,apartment,295000
April,VALLETTA,apartments,390000
April,VALLETTA,townhouse,710000
April,VALLETTA,Shop,
April,ŻABBAR,maisonette,200000
April,ŻEBBUĠ,farmhouse,950000
April,ŻEBBUĠ,character,175000
April,GOZO GĦAJNSIELEM,apartment,90500
April,GOZO NADUR,house,80000
April,GOZO QALA,farmhouse,90000
April,MARSASCALA,apartment,85000
April,QAWRA,apartments,75500
April,ST PAUL,apartment,250000
April,ST VENERA,penthouse,94000
April,ST VENERA,maisonette,110000
April,TARXIEN,apartments,75000
April,GOZO MARSALFORN,apartment,105000
April,GOZO MARSALFORN,apartment,70000
April,GOZO XEWKIJA,bungalow,220000
April,NAXXAR,character,875000
April,SLIEMA,apartment,550000
April,PROPERTY,,
April,1,,
April,10,,
April,10,,
April,A,RESTAURANT,
April,APARTMENTS,maisonettes,
April,ATTARD,apartment,163000
April,ATTARD,apartment,163000
April,ATTARD,maisonette,135000
April,ATTARD,maisonette,130000
April,ATTARD,apartment,220000
April,ATTARD,Bungalow,
April,ATTARD,house,265000
April,ATTARD,apartment,
April,ATTARD,house,350000
April,ATTARD,penthouse,320000
April,ATTARD,maisonette,275000
April,ATTARD,Maisonette,140000
April,ATTARD,apartment,140000
April,ATTARD,penthouse,210000
April,ATTARD,Penthouse,215000
April,ATTARD,maisonette,128150
April,ATTARD,villa,450000
April,ATTARD,villa,645000
April,ATTARD,villa,500000
April,ATTARD,maisonettes,
April,BAHAR IĊ-ĊAGĦAQ,penthouse,
April,BAĦAR IĊ-ĊAGĦAQ,villa,650000
April,BAĦAR IĊ-ĊAGĦAQ,villa,650000
April,BAĦAR IĊ-ĊAGĦAQ,apartment,106000
April,BAHAR IĊ-ĊAGĦAQ,maisonette,207000
April,BAĦAR IĊ-ĊAGĦAQ,maisonette,275000
April,BAĦRIJA,penthouse,165000
April,BAĦRIJA,apartment,121000
April,BALZAN,apartment,140000
April,BALZAN,apartment,248000
April,BALZAN,apartment,150000
April,BALZAN,townhouse,370000
April,BALZAN,apartments,175000
April,BALZAN,apartments,155000
April,BALZAN,maisonette,222000
April,BALZAN,apartment,152000
April,BALZAN,maisonette,198000
April,BALZAN,flat,149000
April,BALZAN,maisonette,245000
April,BALZAN,penthouse,
April,BALZAN,apartment,
April,BALZAN,penthouse,177000
April,BALZAN,apartment,145000
April,BALZAN,,2750000
April,BALZAN,,38000
April,BALZAN,penthouse,168000
April,BALZAN,penthouse,127000
April,BIRGUMA,penthouse,225000
April,BIRGUMA,Apartment,143000
April,BIRGUMA,penthouse,235000
April,BIRKIRKARA,clinic,
April,BIRKIRKARA,apartment,120000
April,BIRKIRKARA,maisonette,245000
April,BIRKIRKARA,Penthouse,163000
April,BIRKIRKARA,maisonette,98000
April,BIRKIRKARA,maisonette,177000
April,BIRKIRKARA,apartments,100000
April,BIRKIRKARA,maisonette,138000
April,BIRKIRKARA,store,127000
April,BIRKIRKARA,house,128000
April,BIRKIRKARA,maisonette,129000
April,BIRKIRKARA,maisonette,112000
April,BIRKIRKARA,character,315000
April,BIRKIRKARA,apartment,65000
April,BIRKIRKARA,Maisonette,185000
April,BIRKIRKARA,flat,98000
April,BIRKIRKARA,maisonette,112000
April,BIRKIRKARA,penthouse,108000
April,BIRKIRKARA,townhouse,70000
April,BIRŻEBBUĠA,Apartments,85000
April,BIRŻEBBUĠA,apartment,95000
April,BIRŻEBBUĠA,maisonette,93000
April,BIRŻEBBUĠA,house,210000
April,BIRŻEBBUĠA,house,150000
April,BUĠIBBA,Apartment,79000
April,BUĠIBBA,apartment,115000
April,BUĠIBBA,apartment,95000
April,BUĠIBBA,flat,114000
April,BUĠIBBA,flat,
April,BUĠIBBA,apartment,110000
April,COSPICUA,apartment,51000
April,COSPICUA,,280000
April,COSPICUA,maisonette,75000
April,DINGLI,farmhouse,370000
April,DINGLI,penthouse,
April,DINGLI,maisonette,146000
April,DINGLI,terraced,180000
April,FGURA,,256500
April,FGURA,Apartment,90000
April,FGURA,penthouse,125000
April,FGURA,apartment,115000
April,FGURA,apartment,90000
April,FGURA,apartment,115000
April,FGURA,apartment,90000
April,FGURA,maisonette,150000
April,FGURA,maisonette,130000
April,FGURA,apartment,105000
April,FGURA,Penthouse,168000
April,FGURA,Penthouse,129000
April,FGURA,apartments,63000
April,FGURA,house,200000
April,FLEUR,apartment,127000
April,FLEUR,penthouse,185000
April,FORT,apartment,518000
April,GĦARGĦUR,apartment,180000
April,GĦARGĦUR,character,173000
April,GĦARGĦUR,apartment,150000
April,GĦochARGĦochUR,apartments,och164000
April,GĦARGĦUR,,200000
April,GĦARGĦUR,apartment,195000
April,GĦAXAQ,farmhouse,995000
