,Date_Published,Locality,Type_of_Property,Price
2,January,GOZO SAN,apartment,220000
3,January,MSIDA,flat,129000
4,January,SWIEQI,maisonette,490000
7,January,BAĦRIJA,apartment,175000
8,January,GOZO MARSALFORN,apartment,125000
9,January,MELLIEĦA,maisonette,180000
10,January,MOSTA,Apartments,225000
11,January,MOSTA,Maisonette,250000
12,January,NAXXAR,maisonette,265000
13,January,QAWRA,apartment,160000
14,January,QAWRA,apartment,159000
15,January,QAWRA,apartment,148000
16,January,QAWRA,Penthouse,250000
17,January,QAWRA,maisonette,225000
18,January,ST PAUL,apartment,185000
19,January,XEMXIJA,maisonette,175000
20,January,ŻEBBIEGĦ,apartment,195000
21,January,ŻEBBUĠ,Penthouse,245000
23,January,GOZO VICTORIA,apartment,110000
25,January,ST PAUL,apartment,190000
28,December,GOZO SANNAT,character,495000
29,December,LUQA,Apartments,143000
30,December,MELLIEĦA,villa,1370000
31,December,MOSTA,Townhouse,510000
34,December,QAWRA,apartment,220000
36,December,VITTORIOSA,Townhouse,650000
38,December,GOZO VICTORIA,character,330000
40,December,ST JULIANS,apartment,495000
42,December,GOZO VICTORIA,character,269000
44,December,GOZO GĦAJNSIELEM,apartment,110000
45,December,GOZO MARSALFORN,apartment,147000
48,January,GOZO XAGĦRA,apartment,110000
50,January,GOZO MARSALFORN,apartment,295000
55,January,ATTARD,villa,800000
58,January,GĦARGĦUR,penthouse,355000
59,January,GOZO GĦAJNSIELEM,apartment,150000
61,January,SAN ĠWANN,apartments,225000
62,January,SLIEMA,apartment,1650000
63,January,SLIEMA,apartment,899000
64,January,SLIEMA,apartment,300000
65,January,SWIEQI,maisonette,490000
66,January,TIGNÈ,apartment,660000
72,January,SLIEMA,flat,198000
75,January,BUĠIBBA,Apartments,153000
76,January,GOZO XEWKIJA,apartment,110000
77,January,ST JULIANS,apartment,375000
80,January,ATTARD,villa,580000
82,January,ATTARD,maisonette,235000
83,January,ATTARD,maisonette,245000
84,January,ATTARD,maisonette,320000
85,January,ATTARD,bungalow,798000
87,January,ATTARD,villa,725000
89,January,ATTARD,bungalow,820000
92,January,ATTARD,Villa,900000
94,January,BAĦAR IĊ-ĊAGĦAQ,maisonette,250000
96,January,BAĦAR IĊ-ĊAGĦAQ,apartment,320000
98,January,BAHRIJA,Apartment,210000
99,January,BAHRIJA,maisonette,245000
100,January,BALZAN,Penthouse,535000
103,January,BALZAN,villa,855000
104,January,BALZAN,apartments,256000
105,January,BALZAN,penthouse,160000
106,January,BALZAN,apartment,175000
107,January,BALZAN,townhouse,245000
109,January,BIDNIJA,Bungalow,1285000
110,January,BIDNIJA,character,760000
111,January,BIRGUMA,apartment,385000
112,January,BIRKIRKARA,townhouse,150000
114,January,BIRKIRKARA,apartment,270000
115,January,BIRKIRKARA,apartment,255000
116,January,BIRKIRKARA,penthouse,295000
117,January,BIRKIRKARA,shop,57500
118,January,BIRKIRKARA,apartment,185000
119,January,BIRKIRKARA,maisonette,120000
120,January,BIRKIRKARA,Maisonette,138000
121,January,BIRKIRKARA,apartment,128000
122,January,BIRKIRKARA,townhouse,510000
123,January,BIRKIRKARA,maisonette,405000
124,January,BIRKIRKARA,shop,120000
125,January,BIRKIRKARA,penthouse,265750
126,January,BIRKIRKARA,apartment,175000
127,January,BIRKIRKARA,Townhouse,325000
128,January,BIRŻEBBUĠA,bungalow,720000
129,January,BIRŻEBBUĠA,house,435000
130,January,BIRŻEBBUĠA,apartment,230000
131,January,BIRŻEBBUĠA,apartments,190000
132,January,BIRŻEBBUĠA,maisonette,182900
133,January,BUĠIBBA,apartment,153000
135,January,_Hlk503627286,apartment,127000
136,January,BUĠIBBA,apartment,125
137,January,BUĠIBBA,apartment,190000
138,January,BUĠIBBA,Penthouse,285000
139,January,BUĠIBBA,apartment,160000
140,January,BURMARRAD,penthouse,240000
142,January,COSPICUA,shop,825000
143,January,COSPICUA,house,570000
144,January,COSPICUA,house,158000
146,January,DINGLI,house,460000
147,January,DINGLI,apartment,190000
148,January,DINGLI,house,420000
149,January,FGURA,maisonette,219000
151,January,FGURA,penthouse,198000
152,January,FGURA,apartment,170000
153,January,FGURA,apartment,128000
154,January,FGURA,apartment,128000
155,January,FGURA,Maisonette,225000
156,January,FGURA,apartment,114500
157,January,FGURA,penthouse,160000
158,January,FGURA,Penthouse,202000
159,January,FGURA,maisonette,175000
160,January,FGURA,house,295000
161,January,FGURA,apartment,155
162,January,FLEUR,Apartment,140000
163,January,FLORIANA,maisonette,145000
164,January,GĦARGĦUR,character,350000
165,January,GĦARGĦUR,apartment,300000
166,January,GĦARGĦUR,apartment,245000
167,January,GĦARGĦUR,apartments,320000
169,January,GĦARGĦUR,Penthouse,450000
171,January,GĦARGĦUR,penthouse,355000
172,January,GĦARGĦUR,character,280000
173,January,GĦARGĦUR,penthouse,480000
174,January,GĦAXAQ,Apartment,239000
175,January,GĦAXAQ,character,430000
176,January,GĦAXAQ,Farmhouse,795000
177,January,GĦAXAQ,Farmhouse,795000
178,January,GĦAXAQ,apartment,165000
179,January,GĦAXAQ,townhouse,380000
180,January,GĦAXAQ,apartment,150000
181,January,GĦAXAQ,house,318000
182,January,GĦAXAQ,character,340000
183,January,GOZO GĦARB,apartment,180000
184,January,GOZO GĦARB,apartment,150000
185,January,GOZO MARSALFORN,apartment,65000
