,Date_Published,Locality,Type_of_Property,Price
0,January,ATTARD,apartment,125000
1,January,GOZO XEWKIJA,bungalow,220000
2,January,ST PAUL,penthouse,156000
3,January,ATTARD,penthouse,318000
4,January,ATTARD,villa,890000
5,January,ATTARD,apartment,159000
6,January,ATTARD,apartment,169000
7,January,ATTARD,maisonette,194000
8,January,ATTARD,character,320000
9,January,ATTARD,maisonette,243000
10,January,ATTARD,villa,475000
11,January,ATTARD,apartment,181000
12,January,ATTARD,store,425000
13,January,BAĦAR IĊ-ĊAGĦAQ,apartment,139000
14,January,BAĦAR IĊ-ĊAGĦAQ,maisonette,210000
15,January,BAĦAR IĊ-ĊAGĦAQ,house of character,450000
16,January,BAĦAR IĊ-ĊAGĦAQ,bungalow,970000
17,January,BALZAN,maisonette,220000
18,January,BALZAN,house of character,365000
19,January,BALZAN,townhouse,389000
20,January,BALZAN,maisonettes,275000
21,January,BALZAN,maisonettes,275000
22,January,BALZAN,maisonette,209000
23,January,BALZAN,maisonette,220000
24,January,BIRGUMA,bungalow,1450000
25,January,BIRKIRKARA,apartment,142000
26,January,BIRKIRKARA,apartment,160000
27,January,BIRKIRKARA,maisonettes,189000
28,January,BIRKIRKARA,apartment,107000
29,January,BIRKIRKARA,apartment,147000
30,January,BIRKIRKARA,penthouse,179500
31,January,BIRKIRKARA,maisonette,245000
32,January,BIRKIRKARA,maisonette,169000
33,January,BIRKIRKARA,maisonette,169000
34,January,BIRKIRKARA,apartment,165000
35,January,BIRKIRKARA,maisonette,165000
36,January,BIRKIRKARA,apartment,150000
37,January,BIRKIRKARA,maisonette,133000
38,January,BIRKIRKARA,townhouse,175000
39,January,BIRKIRKARA,maisonette,75000
40,January,BIRKIRKARA,apartment,99000
41,January,BIRKIRKARA,townhouse,109000
42,January,BIRŻEBBUĠA,penthouse,145000
43,January,BUĠIBBA,apartment,85000
44,January,COSPICUA,maisonette,80000
45,January,COSPICUA,townhouse,90000
46,January,FGURA,penthouse,169500
47,January,FGURA,apartment,110000
48,January,FGURA,maisonette,99000
49,January,FGURA,apartment,97000
50,January,FGURA,apartment,60000
51,January,FGURA,house of character,190000
52,January,FLORIANA,apartment,158000
53,January,GĦADIRA,apartment,120000
54,January,GĦARGĦUR,character,690000
55,January,GĦARGĦUR,apartment,185000
56,January,GĦARGĦUR,penthouse,350000
57,January,GĦARGĦUR,character,280000
58,January,GĦARGĦUR,character,279000
59,January,GĦARGĦUR,character,280000
60,January,GĦARGĦUR,apartment,190000
61,January,GĦARGĦUR,character,280000
62,January,GĦAXAQ,plot,155000
63,January,GĦAXAQ,maisonette,115000
64,January,GOZO GĦAJNSIELEM,apartment,130000
65,January,GOZO NADUR,farmhouse,450000
66,January,GOZO VICTORIA,maisonette,250000
67,January,GOZO VICTORIA,apartment,69000
68,January,GOZO XAGĦRA,house of character,395000
69,January,GOZO XEWKIJA,house of character,160000
70,January,GOZO XEWKIJA,apartment,65000
71,January,GOZO ŻEBBUĠ,apartment,85000
72,January,GOZO ŻEBBUĠ,character,210000
73,January,GUARDAMANGIA,apartment,130000
74,January,GUDJA,character,385000
75,January,GUDJA,apartment,76000
76,January,GUDJA,maisonette,198000
77,January,GUDJA,character,150500
78,January,GŻIRA,apartment,165000
79,January,ĠŻIRA,apartment,165000
80,January,GŻIRA,apartment,150000
81,January,GŻIRA,penthouse,210000
82,January,GŻIRA,apartment,165000
83,January,GŻIRA,apartment,129000
84,January,GŻIRA,penthouse,200000
85,January,GŻIRA,apartment,160000
86,January,ĦAMRUN,townhouse,150000
87,January,ĦAMRUN,townhouse,105000
88,January,HAMRUN,clinic,60000
89,January,ĦAMRUN,apartment,85000
90,January,ĦAMRUN,maisonette,154000
91,January,IKLIN,plot,325000
92,January,IKLIN,house of character,325000
93,January,IKLIN,penthouse,139000
94,January,KALKARA,apartment,127000
95,January,KALKARA,house of character,233500
96,January,KAPPARA,maisonette,191500
97,January,KIRKOP,apartment,148500
98,January,LUQA,apartment,90000
99,January,LUQA,store,96000
100,January,LUQA,character,399000
101,January,LUQA,apartment,128000
102,January,LUQA,townhouse,280000
103,January,LUQA,townhouse,160000
104,January,MADLIENA,villa,1200000
106,January,MADLIENA,character,1390000
107,January,MAISONETTE,maisonette,255000
108,January,MARSASCALA,maisonette,110000
109,January,MARSASCALA,penthouse,230000
110,January,MARSASCALA,maisonette,142000
111,January,MARSASCALA,maisonette,265000
112,January,MARSASCALA,plot,180000
113,January,MARSASCALA,farmhouse,3085000
114,January,MARSASCALA,bungalow,1285000
115,January,MARSASCALA,penthouse,345000
116,January,MARSASCALA,maisonette,155000
117,January,MARSASCALA,apartment,184000
118,January,MARSASCALA,apartment,140000
119,January,MARSASCALA,house of character,276500
120,January,MARSAXLOKK,villa,775000
121,January,MARSAXLOKK,villa,850000
122,January,MARSAXLOKK,apartment,165000
123,January,MARSAXLOKK,house of character,260000
124,January,MDINA,character,700000
125,January,MELLIEĦA,maisonette,287000
126,January,MELLIEĦA,bungalow,585000
127,January,MELLIEĦA,bungalow,873000
128,January,MELLIEĦA,apartment,210000
129,January,MELLIEĦA,villa,1000000
130,January,MELLIEĦA,penthouse,1260000
131,January,MELLIEĦA,apartment,165000
132,January,MELLIEĦA,penthouse,160000
133,January,MELLIEĦA,maisonette,180000
134,January,MELLIEĦA,apartment,179000
135,January,MELLIEĦA,apartment,150000
136,January,MELLIEĦA,apartment,120000
137,January,MELLIEĦA,maisonette,215000
138,January,MELLIEĦA,maisonette,170000
139,January,MELLIEĦA,house of character,425000
140,January,MELLIEĦA,penthouse,149000
141,January,MELLIEĦA,maisonette,145000
142,January,MELLIEĦA,house of character,290000
143,January,MĠARR,maisonette,180000
144,January,MĠARR,plot,445000
145,January,MOSTA,apartment,185000
146,January,MOSTA,maisonette,191000
147,January,MOSTA,penthouse,225000
148,January,MOSTA,apartment,168000
149,January,MOSTA,penthouse,213000
150,January,MOSTA,penthouse,280000
151,January,MOSTA,maisonette,219000
152,January,MOSTA,character,375000
153,January,MOSTA,character,485000
154,January,MOSTA,character,285000
155,January,MOSTA,house of character,475000
156,January,MOSTA,house of character,330000
157,January,MOSTA,apartment,130000
158,January,MOSTA,penthouse,215000
159,January,MOSTA,penthouse,179000
160,January,MOSTA,penthouse,98000
161,January,MOSTA,maisonette,220000
162,January,MOSTA,house of character,330000
163,January,MOSTA,house of character,267000
164,January,MOSTA,maisonette,169500
165,January,MQABBA,house of character,42360
166,January,MRIEĦEL,maisonette,295000
167,January,MSIDA,apartment,160000
168,January,MSIDA,apartment,139000
169,January,MSIDA,maisonette,115000
170,January,MSIDA,apartment,160000
171,January,MSIDA,apartment,185000
172,January,MSIDA,apartment,130000
173,January,MSIDA,apartment,128000
174,January,MSIDA,apartment,117000
175,January,MSIDA,penthouse,145000
176,January,MSIDA,apartment,139000
177,January,NAXXAR,plot,490000
178,January,NAXXAR,maisonette,215000
179,January,NAXXAR,character,325000
180,January,NAXXAR,townhouse,428000
181,January,NAXXAR,townhouse,445000
182,January,PAOLA,maisonette,115000
183,January,PAOLA,townhouse,115000
184,January,PAOLA,apartment,92000
185,January,PENDER,apartment,449000
186,January,PIETÀ,apartment,135000
187,January,PIETÀ,apartment,143000
188,January,PIETÀ,apartment,136000
189,January,PORTOMASO,apartment,640000
190,January,PWALES,apartment,118000
191,January,QAWRA,apartment,135000
192,January,QAWRA,penthouse,325000
193,January,QAWRA,apartment,118000
194,January,QAWRA,penthouse,445000
195,January,QAWRA,house of character,398000
196,January,QAWRA,penthouse,350000
197,January,QAWRA,apartment,130000
198,January,QAWRA,apartment,130000
199,January,QAWRA,apartment,133000
200,January,QAWRA,penthouse,116000
201,January,QAWRA,apartment,135000
202,January,QAWRA,apartment,91000
203,January,QAWRA,apartment,125000
204,January,QORMI,apartment,49700
205,January,QORMI,penthouse,98000
206,January,QRENDI,character,298000
207,January,QRENDI,townhouse,260000
208,January,QRENDI,character,250000
209,January,QRENDI,house of character,375000
210,January,QRENDI,character,290000
211,January,RABAT,character,175000
212,January,RABAT,penthouse,270000
213,January,RABAT,apartment,23000
214,January,RABAT,townhouse,222800
215,January,RESTAURANT with,restaurant,1101000
216,January,SAN ĠWANN,apartment,98000
217,January,SAN ĠWANN,apartment,125000
218,January,SAN ĠWANN,apartment,149000
219,January,SAN ĠWANN,apartment,126000
220,January,SAN PAWL,villa,550000
221,January,SAN PAWL,villa,550000
222,January,SAN PAWL,maisonette,266000
223,January,SAN PAWL,villa,925000
224,January,SAN PAWL,villa,795000
225,January,SENGLEA,apartment,145000
226,January,SENGLEA,townhouse,108000
227,January,SENGLEA,townhouse,119000
228,January,SENGLEA,townhouse,265000
229,January,SIĠĠIEWI,character,322000
230,January,SIĠĠIEWI,house of character,220000
