,Unnamed: 0,Date_Published,Locality,Type_of_Property,Price
0,0,January,GŻIRA,apartment,199000
1,1,January,BAĦAR IĊ-ĊAGĦAQ,apartment,265000
2,2,January,GŻIRA,apartment,190000
3,3,January,SENGLEA,penthouse,595000
4,4,January,SLIEMA,apartment,345000
5,5,January,ST VENERA,penthouse,165000
6,6,January,SWIEQI,maisonette,585000
7,7,January,ATTARD,penthouse,320000
8,8,January,ATTARD,penthouse,132000
9,9,January,ATTARD,bungalow,890000
10,10,January,ATTARD,penthouse,375000
11,11,January,ATTARD,maisonette,380000
12,12,January,ATTARD,house of character of character,455000
13,13,January,ATTARD,maisonette,259000
14,14,January,BAĦAR IĊ-ĊAGĦAQ,house of character of character,410000
15,15,January,BAĦRIJA,penthouse,240000
16,16,January,BALZAN,townhouse,259000
17,17,January,BIRKIRKARA,villa,465000
18,18,January,BIRKIRKARA,character,195000
19,19,January,BIRKIRKARA,apartment,680000
20,20,January,BIRKIRKARA,townhouse,140000
21,21,January,BIRKIRKARA,villa,240000
22,22,January,BIRŻEBBUĠA,maisonette,269000
23,23,January,BIRŻEBBUĠA,maisonette,268000
24,24,January,BIRŻEBBUĠA,apartment,125000
25,25,January,BUĠIBBA,apartment,137000
26,26,January,BUĠIBBA,penthouse,265000
27,27,January,BUĠBBA,apartment,148000
28,28,January,COSPICUA,townhouse,115000
29,29,January,COSPICUA,maisonette,95000
30,30,January,FGURA,maisonette,106500
31,31,January,FGURA,penthouse,160000
32,32,January,FGURA,penthouse,153000
33,33,January,FGURA,apartment,150000
34,34,January,GĦARGĦUR,apartment,265000
35,35,January,GĦARGĦUR,apartment,197000
36,36,January,GĦAXAQ,apartment,82000
37,37,January,GĦAXAQ,maisonette,275000
38,38,January,GOZO GĦAJNSIELEM,apartment,160000
39,39,January,GOZO MARSALFORN,penthouse,198000
40,40,January,GOZO MUNXAR,farmhouse,380000
41,41,January,GOZO NADUR,penthouse,179000
42,42,January,GOZO VICTORIA,penthouse,105000
43,43,January,GOZO XAGĦRA,house of character of character,375000
44,44,January,GOZO XLENDI,house of character of character,330000
45,45,January,GUARDAMANGIA,apartment,125000
46,46,January,GUDJA,house of character of character,360000
47,47,January,GŻIRA,apartment,169000
48,48,January,GŻIRA,apartment,200000
49,49,January,GŻIRA,apartment,220000
50,50,January,GŻIRA,apartment,225000
51,51,January,GŻIRA,apartment,155000
52,52,January,GŻIRA,apartment,173000
53,53,January,ĦAMRUN,shop,40000
54,54,January,ĦAMRUN,townhouse,112000
55,55,January,IKLIN,maisonette,355000
56,56,January,KALKARA,apartment,160000
57,57,January,KALKARA,house of character of character,319000
58,58,January,KAPPARA,apartment,125000
59,59,January,KAPPARA,villa,650000
60,60,January,KAPPARA,villa,680000
61,61,January,LIJA,apartment,160000
62,62,January,LUQA,house of character of character,356000
63,63,January,LUQA,maisonette,215000
64,64,January,MADLIENA,villa,1500000
65,65,January,MANIKATA,apartment,235000
66,66,January,MARSASCALA,apartment,160000
67,67,January,MARSASCALA,penthouse,350000
68,68,January,MARSASCALA,maisonette,275000
69,69,January,MARSASCALA,apartment,155000
70,70,January,MARSASCALA,apartment,155000
71,71,January,MARSASCALA,apartment,125000
72,72,January,MARSASCALA,maisonette,260000
73,73,January,MARSASCALA,apartment,195000
74,74,January,MARSASCALA,apartment,148000
75,75,January,MARSASCALA,apartment,135000
76,76,January,MARSASCALA,maisonette,267000
77,77,January,MARSASCALA,maisonette,230000
78,78,January,MARSASCALA,apartment,105000
79,79,January,MARSASCALA,maisonette,250000
80,80,January,MARSASCALA,penthouse,191000
81,81,January,MARSASCALA,apartment,140000
