,Date_Published,Locality,Type_of_Property,Price
1,April,BALZAN,apartment,152000
2,April,GOZO GĦAJNSIELEM,house,185000
3,April,GOZO NADUR,character,293000
4,April,GOZO VICTORIA,maisonette,145000
5,April,MARSASCALA,apartment,85000
6,April,QAWRA,Apartment,140000
7,April,QAWRA,apartments,75500
8,April,SIĠĠIEWI,maisonette,120000
9,April,ST PAUL,apartment,250000
10,April,ST VENERA,penthouse,94000
12,April,TA,villa,850000
13,April,TARXIEN,apartments,75000
14,April,THE,maisonette,20500
15,April,VICTORIA,bungalow,1600000
16,April,ŻEBBUĠ,farmhouse,950000
17,April,ATTARD,villa,450000
18,April,BALZAN,apartment,147000
19,April,BALZAN,flat,150000
20,April,BIRKIRKARA,penthouse,125000
21,April,BIRKIRKARA,penthouse,108000
22,April,COSPICUA,townhouse,275000
24,April,GOZO FONTANA,house,345000
25,April,GOZO MARSALFORN,apartment,80000
26,April,GOZO SANNAT,penthouse,165000
27,April,GOZO XAGĦRA,character,260000
28,April,KAPPARA,villa,650000
29,April,MARSASCALA,apartment,125000
30,April,MARSASCALA,apartment,175000
33,April,NAXXAR,character,875000
35,April,SANTA LUĊIJA,house,250000
37,April,SLIEMA,apartment,220000
38,April,SLIEMA,penthouse,360000
39,April,ST PAUL,penthouse,194250
40,April,ST VENERA,Maisonette,95000
41,April,ST VENERA,apartment,90000
42,April,TA,apartment,850000
43,April,THE,villa,510000
44,April,VALLETTA,apartment,295000
45,April,VALLETTA,apartments,390000
46,April,VALLETTA,townhouse,710000
48,April,ŻABBAR,maisonette,200000
49,April,ŻEBBUĠ,farmhouse,950000
50,April,ŻEBBUĠ,character,175000
51,April,GOZO GĦAJNSIELEM,apartment,90500
52,April,GOZO NADUR,house,80000
53,April,GOZO QALA,farmhouse,90000
54,April,MARSASCALA,apartment,85000
55,April,QAWRA,apartments,75500
56,April,ST PAUL,apartment,250000
57,April,ST VENERA,penthouse,94000
58,April,ST VENERA,maisonette,110000
59,April,TARXIEN,apartments,75000
60,April,GOZO MARSALFORN,apartment,105000
61,April,GOZO MARSALFORN,apartment,70000
62,April,GOZO XEWKIJA,bungalow,220000
63,April,NAXXAR,character,875000
64,April,SLIEMA,apartment,550000
71,April,ATTARD,apartment,163000
72,April,ATTARD,apartment,163000
73,April,ATTARD,maisonette,135000
74,April,ATTARD,maisonette,130000
75,April,ATTARD,apartment,220000
77,April,ATTARD,house,265000
79,April,ATTARD,house,350000
80,April,ATTARD,penthouse,320000
81,April,ATTARD,maisonette,275000
82,April,ATTARD,Maisonette,140000
83,April,ATTARD,apartment,140000
84,April,ATTARD,penthouse,210000
85,April,ATTARD,Penthouse,215000
86,April,ATTARD,maisonette,128150
87,April,ATTARD,villa,450000
88,April,ATTARD,villa,645000
89,April,ATTARD,villa,500000
92,April,BAĦAR IĊ-ĊAGĦAQ,villa,650000
93,April,BAĦAR IĊ-ĊAGĦAQ,villa,650000
94,April,BAĦAR IĊ-ĊAGĦAQ,apartment,106000
95,April,BAHAR IĊ-ĊAGĦAQ,maisonette,207000
96,April,BAĦAR IĊ-ĊAGĦAQ,maisonette,275000
97,April,BAĦRIJA,penthouse,165000
98,April,BAĦRIJA,apartment,121000
99,April,BALZAN,apartment,140000
100,April,BALZAN,apartment,248000
101,April,BALZAN,apartment,150000
102,April,BALZAN,townhouse,370000
103,April,BALZAN,apartments,175000
104,April,BALZAN,apartments,155000
105,April,BALZAN,maisonette,222000
106,April,BALZAN,apartment,152000
107,April,BALZAN,maisonette,198000
108,April,BALZAN,flat,149000
109,April,BALZAN,maisonette,245000
112,April,BALZAN,penthouse,177000
113,April,BALZAN,apartment,145000
116,April,BALZAN,penthouse,168000
117,April,BALZAN,penthouse,127000
118,April,BIRGUMA,penthouse,225000
119,April,BIRGUMA,Apartment,143000
120,April,BIRGUMA,penthouse,235000
122,April,BIRKIRKARA,apartment,120000
123,April,BIRKIRKARA,maisonette,245000
124,April,BIRKIRKARA,Penthouse,163000
125,April,BIRKIRKARA,maisonette,98000
126,April,BIRKIRKARA,maisonette,177000
127,April,BIRKIRKARA,apartments,100000
128,April,BIRKIRKARA,maisonette,138000
129,April,BIRKIRKARA,store,127000
130,April,BIRKIRKARA,house,128000
131,April,BIRKIRKARA,maisonette,129000
132,April,BIRKIRKARA,maisonette,112000
133,April,BIRKIRKARA,character,315000
134,April,BIRKIRKARA,apartment,65000
135,April,BIRKIRKARA,Maisonette,185000
136,April,BIRKIRKARA,flat,98000
137,April,BIRKIRKARA,maisonette,112000
138,April,BIRKIRKARA,penthouse,108000
139,April,BIRKIRKARA,townhouse,70000
140,April,BIRŻEBBUĠA,Apartments,85000
141,April,BIRŻEBBUĠA,apartment,95000
142,April,BIRŻEBBUĠA,maisonette,93000
143,April,BIRŻEBBUĠA,house,210000
144,April,BIRŻEBBUĠA,house,150000
145,April,BUĠIBBA,Apartment,79000
146,April,BUĠIBBA,apartment,115000
147,April,BUĠIBBA,apartment,95000
148,April,BUĠIBBA,flat,114000
150,April,BUĠIBBA,apartment,110000
151,April,COSPICUA,apartment,51000
153,April,COSPICUA,maisonette,75000
154,April,DINGLI,farmhouse,370000
