,Date,Price
0,17-11-2019  20:49,139
0,18-11-2019  05:46,112.38
0,19-11-2019  05:55,102.048
0,20-11-2019  20:51,123.06
0,21-11-2019  05:46,123.05
0,22-11-2019  06:01,72.84
0,23-11-2019  05:46,101.04
0,24-11-2019  05:46,122
0,25-11-2019  05:46,123.99
0,26-11-2019  05:47,73.71
0,27-11-2019  05:47,123.06
0,28-11-2019  05:48,72.84
0,29-11-2019  05:47,124.09
0,30-11-2019  05:47,124.01
0,01-12-2019  05:51,124.01
0,02-12-2019  05:48,125
0,03-12-2019  05:47,124.42
0,04-12-2019  05:46,124.33
0,05-12-2019  05:47,74.76
0,06-12-2019  05:46,82.65
0,07-12-2019  05:47,74.28
0,08-12-2019  05:47,82.63
0,09-12-2019  05:48,82.9
0,10-12-2019  05:47,83
0,11-12-2019  05:47,125.92
0,12-12-2019  05:47,126.91
0,13-12-2019  05:48,125.87
0,14-12-2019  05:48,124.47
0,15-12-2019  05:50,83
0,16-12-2019  05:45,83.25
0,17-12-2019  05:49,83.25
0,18-12-2019  05:48,75.24
0,19-12-2019  05:55,75.24
0,20-12-2019  05:54,127.88
0,22-12-2019  05:47,132.36
0,23-12-2019  05:48,146.76
0,24-12-2019  09:52,145.86
0,25-12-2019  05:45,195.34
0,26-12-2019  05:50,212
0,27-12-2019  07:59,211
0,28-12-2019  05:52,247.61
0,29-12-2019  05:51,152
0,30-12-2019  05:52,93
