,Date,Price
0,17-11-2019  20:49,168
0,18-11-2019  05:46,158.524
0,19-11-2019  05:55,159.246
0,20-11-2019  05:51,170.23
0,21-11-2019  05:46,169.29
0,22-11-2019  06:00,169.39
0,23-11-2019  05:46,169.98
0,24-11-2019  05:46,168
0,25-11-2019  05:46,170.24
0,26-11-2019  05:47,170.16
0,27-11-2019  05:47,169.31
0,28-11-2019  05:48,169.29
0,29-11-2019  05:47,171.28
0,30-11-2019  05:47,170.22
0,01-12-2019  05:50,170.22
0,02-12-2019  05:47,171
0,03-12-2019  05:47,170.78
0,04-12-2019  05:46,171.58
0,05-12-2019  05:46,171.62
0,06-12-2019  05:46,170.93
0,07-12-2019  05:47,171.61
0,08-12-2019  05:47,171.61
0,09-12-2019  05:47,162
0,10-12-2019  05:47,136.74
0,11-12-2019  05:47,160.76
0,12-12-2019  05:47,136.74
0,13-12-2019  05:48,161.66
0,14-12-2019  05:48,160.75
0,15-12-2019  05:50,158.96
0,16-12-2019  05:45,159.86
0,17-12-2019  05:49,159.86
0,18-12-2019  05:48,160.81
0,19-12-2019  05:55,160.81
0,20-12-2019  05:54,161.57
0,22-12-2019  05:47,153
0,23-12-2019  05:48,129.52
0,24-12-2019  09:52,158.69
0,25-12-2019  05:45,179.37
0,26-12-2019  05:50,170
0,27-12-2019  07:59,129.66
0,28-12-2019  05:52,130.96
0,29-12-2019  05:51,157.85
0,30-12-2019  05:52,177.65
