,Date,Price
0,17-11-2019  20:47,195.68
0,18-11-2019 20:48,227.224
0,19-11-2019 20:49,203.08
0,20-11-2019  20:52,141
0,21-11-2019  05:47,196.63
0,22-11-2019  06:01,163
0,23-11-2019  05:47,231.76
0,24-11-2019  05:47,230.76
0,25-11-2019  05:47,141
0,26-11-2019  05:48,141
0,27-11-2019  05:47,196
0,28-11-2019  05:49,163.1
0,29-11-2019  05:48,231.11
0,30-11-2019  05:48,230.76
0,01-12-2019  05:53,231
0,02-12-2019  05:48,232
0,03-12-2019  05:48,232.46
0,04-12-2019  05:47,232.46
0,05-12-2019  05:47,163.35
0,06-12-2019  05:47,232.46
0,07-12-2019  05:48,230.76
0,08-12-2019  05:48,230.76
0,09-12-2019  05:48,231.46
0,10-12-2019  05:48,231
0,11-12-2019  05:47,231.46
0,12-12-2019  05:47,231
0,13-12-2019  05:48,231.46
0,14-12-2019  05:48,230.76
0,15-12-2019  05:50,231.71
0,16-12-2019  05:45,232
0,17-12-2019  05:49,232
0,18-12-2019  05:48,111.28
0,19-12-2019  05:55,111.28
0,20-12-2019  05:54,265.95
0,22-12-2019  05:47,263.07
0,23-12-2019  05:48,263.08
0,24-12-2019  09:52,263.61
0,25-12-2019  05:45,299.66
0,26-12-2019  05:50,299.66
0,27-12-2019  07:59,325
0,28-12-2019  05:54,326
0,29-12-2019  05:55,326
0,30-12-2019  05:46,390.59
