,Date,Price
0,17-11-2019  20:49,437.7
0,18-11-2019  05:47,506.48
0,19-11-2019  05:50,493.312
0,20-11-2019  05:46,441.62
0,21-11-2019  05:47,439.72
0,22-11-2019  06:01,440.21
0,23-11-2019  05:47,440.08
0,24-11-2019  05:47,440.08
0,25-11-2019  05:47,507
0,26-11-2019  05:47,532.66
0,27-11-2019  05:47,532.66
0,28-11-2019  05:48,532.66
0,29-11-2019  05:47,532.66
0,30-11-2019  05:47,532.66
0,01-12-2019  05:52,532.66
0,02-12-2019  05:48,532.33
0,03-12-2019  05:48,440.35
0,04-12-2019  05:47,304
0,05-12-2019  05:47,441.35
0,06-12-2019  05:47,441.35
0,07-12-2019  05:47,439.08
0,08-12-2019  05:47,440.08
0,09-12-2019  05:48,440.35
0,10-12-2019  05:47,440.35
0,11-12-2019  05:47,440
0,12-12-2019  05:47,441.35
0,13-12-2019  05:48,525.49
0,14-12-2019  05:48,525.49
0,15-12-2019  05:50,525.49
0,16-12-2019  05:45,525.49
0,17-12-2019  05:49,526.23
0,18-12-2019  05:48,526.23
0,19-12-2019  05:55,527.23
0,20-12-2019  05:54,527.23
0,22-12-2019  05:47,527.23
0,23-12-2019  05:48,527.23
0,24-12-2019  09:52,526.97
0,25-12-2019  05:45,526.97
0,26-12-2019  05:50,526.97
0,27-12-2019  07:59,526.97
